Signal,ID,Character,Title,位置,Content,JumpTo,Effect,Target
#,0,布洛妮娅,贝罗伯格领袖,右,早上好，希儿,1,,
#,1,希儿,下层区地火成员,右,早上好，布洛妮娅,2,,
#,2,布洛妮娅,贝罗伯格领袖,左,下层区最近如何?,3,,
&,3,,,,还不错,6,,
&,4,,,,一般,6,,
&,5,,,,不太好......,6,,
#,6,布洛妮娅,贝罗伯格领袖,左,希儿......,7,,
#,7,布洛妮娅,贝罗伯格领袖,左,你想去公园走走吗?,8,,
&,8,,,,好的，去走走吧,10,likability+@1,布洛妮娅
&,9,,,,不了，晚点再说吧,11,faqigue+@1,希儿
#,10,布洛妮娅,贝罗伯格领袖,左,太好了，那我们一起出发吧!,12,,
#,11,布洛妮娅,贝罗伯格领袖,左,嗯，我在这等你,14,,
#,12,希儿,下层区地火成员,右,等我收拾一下就出门!,13,,
END,13,,,,,15,,
#,14,希儿,下层区地火成员,右,好，我尽量快,13,,
!,NOTSHOWAGAIN,,,,,,,
